"%s %s cycle.","%s %s siklus."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Jumlah pembayaran terjadwal yang dapat gagal sebelum profil ditangguhkan secara otomatis."
"The payment review action is unavailable.","Tindakan ulasan pembayaran tidak tersedia."
"The requested Payment Method is not available.","Metode Pembayaran yang diminta tidak tersedia."
"Title","Judul"
"Trial Billing Amount","Jumlah Tagihan Percobaan"
"Trial Billing Frequency","Frekuensi Tagihan Percobaan"
"Trial Billing Period Unit","Unit Periode Tagihan Percobaan"
"Trial Period","Periode Percobaan"
"Trial billing amount is wrong.","Jumlah tagihan percobaan salah."
"Trial billing period unit is wrong.","Unit periode tagihan percobaan salah."
"Trial period frequency is wrong.",Frekuensi tagihan percobaan salah."
"Trial period max cycles is wrong.","Maksimal siklus periode percobaan salah."
"Two Weeks","Dua Minggu"
"Unable to save Billing Agreement:","Tidak dapat menyimpan Perjanjian Penagihan:"
"Unit for billing during the subscription period.","Unit untuk penagihan selama periode berlangganan."
"Unsupported currency code: %s.","Kode mata uang tidak didukung: %s."
"Void action is not available.","Tindakan void tidak tersedia."
"Week","Minggu"
"What is this?","Apa ini?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Apakah akan menangguhkan profil pembayaran jika biaya awal gagal atau ditambahkan ke saldo terutang."
"Wrong %s specified.","Kesalahan %s ditentukan."
"Wrong or empty billing amount specified.","Jumlah tagihan salah atau kosong ditentukan."
"Year","Tahun"
"Zero Subtotal Checkout","Subtotal ke Kasir Nol"
